row,latitude,longitude,aggresiveness score,lane
0,42.3051415,-83.6925696,21.18589125825727,1.0
1,42.3051415,-83.6925696,21.18589125825727,1.0
2,42.3051415,-83.6925696,21.18589125825727,1.0
3,42.3051415,-83.6925696,21.18589125825727,1.0
4,42.3051415,-83.6925696,21.18589125825727,1.0
5,42.3051415,-83.6925696,21.18589125825727,1.0
6,42.3051415,-83.6925696,21.18589125825727,1.0
7,42.3051415,-83.6925696,21.18589125825727,1.0
8,42.3051415,-83.6925696,21.18589125825727,1.0
9,42.3051415,-83.6925696,21.18589125825727,1.0
10,42.3051415,-83.6925696,21.18589125825727,1.0
11,42.3051415,-83.6925696,21.18589125825727,1.0
12,42.3051415,-83.6925696,21.18589125825727,1.0
13,42.3051415,-83.6925696,21.18589125825727,1.0
14,42.3051415,-83.6925696,21.18589125825727,1.0
15,42.3051415,-83.6925696,21.18589125825727,1.0
16,42.3051415,-83.6925696,21.18589125825727,1.0
17,42.3051415,-83.6925696,21.18589125825727,1.0
18,42.3051415,-83.6925696,21.18589125825727,1.0
19,42.3051415,-83.6925696,21.18589125825727,1.0
20,42.3051415,-83.6925696,21.18589125825727,1.0
21,42.3051415,-83.6925696,21.18589125825727,1.0
22,42.3051415,-83.6925696,21.18589125825727,1.0
23,42.3051415,-83.6925696,21.18589125825727,1.0
24,42.3051415,-83.6925696,21.18589125825727,1.0
25,42.3051415,-83.6925696,21.18589125825727,1.0
26,42.3051415,-83.6925696,21.18589125825727,1.0
27,42.3051415,-83.6925696,21.18589125825727,1.0
28,42.3051415,-83.6925696,21.18589125825727,1.0
29,42.3051415,-83.6925696,21.18589125825727,1.0
30,42.3051415,-83.6925696,42.450099354368504,1.0
31,42.3051415,-83.6925696,42.450099354368504,1.0
32,42.3051415,-83.6925696,42.450099354368504,1.0
33,42.3051415,-83.6925696,42.450099354368504,1.0
34,42.3051415,-83.6925696,42.450099354368504,1.0
35,42.3051415,-83.6925696,42.450099354368504,1.0
36,42.3051415,-83.6925696,42.450099354368504,1.0
37,42.3051415,-83.6925696,42.450099354368504,1.0
38,42.3051415,-83.6925696,42.450099354368504,1.0
39,42.3051415,-83.6925696,42.450099354368504,1.0
40,42.3051415,-83.6925696,42.450099354368504,1.0
41,42.3051415,-83.6925696,42.450099354368504,1.0
42,42.3051415,-83.6925696,42.450099354368504,1.0
43,42.3051415,-83.6925696,42.450099354368504,1.0
44,42.3051415,-83.6925696,42.450099354368504,1.0
45,42.3051415,-83.6925696,42.450099354368504,1.0
46,42.3051415,-83.6925696,42.450099354368504,1.0
47,42.3051415,-83.6925696,42.450099354368504,1.0
48,42.3051415,-83.6925696,42.450099354368504,1.0
49,42.3051415,-83.6925696,42.450099354368504,1.0
50,42.3051415,-83.6925696,42.450099354368504,1.0
51,42.3051415,-83.6925696,42.450099354368504,1.0
52,42.3051415,-83.6925696,42.450099354368504,1.0
53,42.3051415,-83.6925696,42.450099354368504,1.0
54,42.3051415,-83.6925696,42.450099354368504,1.0
55,42.3051415,-83.6925696,42.450099354368504,1.0
56,42.3051415,-83.6925696,42.450099354368504,1.0
57,42.3051415,-83.6925696,42.450099354368504,1.0
58,42.3051415,-83.6925696,42.450099354368504,1.0
59,42.3051415,-83.6925696,42.450099354368504,1.0
60,42.3051415,-83.6925696,42.450099354368504,1.0
61,42.3051415,-83.6925696,42.450099354368504,1.0
62,42.3051415,-83.6925696,42.450099354368504,1.0
63,42.3051415,-83.6925696,42.450099354368504,1.0
64,42.3051415,-83.6925696,42.450099354368504,1.0
65,42.3051415,-83.6925696,42.450099354368504,1.0
66,42.3051415,-83.6925696,42.450099354368504,1.0
67,42.3051415,-83.6925696,42.450099354368504,1.0
68,42.3051415,-83.6925696,42.450099354368504,1.0
69,42.3051415,-83.6925696,42.450099354368504,1.0
70,42.3051415,-83.6925696,42.450099354368504,1.0
71,42.3051415,-83.6925696,42.450099354368504,1.0
72,42.3051415,-83.6925696,42.450099354368504,1.0
73,42.3051415,-83.6925696,42.450099354368504,1.0
74,42.3051415,-83.6925696,42.450099354368504,1.0
75,42.3051415,-83.6925696,42.450099354368504,1.0
76,42.3051415,-83.6925696,42.450099354368504,1.0
77,42.3051415,-83.6925696,42.450099354368504,1.0
78,42.3051415,-83.6925696,42.450099354368504,1.0
79,42.3051415,-83.6925696,42.450099354368504,1.0
80,42.3051415,-83.6925696,42.450099354368504,1.0
81,42.3051415,-83.6925696,42.450099354368504,1.0
82,42.3051415,-83.6925696,42.450099354368504,1.0
83,42.3051398,-83.69257089999998,42.450099354368504,1.0
84,42.3051401,-83.6925734,42.450099354368504,1.0
85,42.3051391,-83.6925751,42.450099354368504,1.0
86,42.3051386,-83.692577,42.450099354368504,1.0
87,42.305138,-83.69257940000001,42.450099354368504,1.0
88,42.30513679999999,-83.692585,42.450099354368504,1.0
89,42.3051362,-83.6925883,42.450099354368504,1.0
90,42.305135,-83.69259179999997,42.450099354368504,1.0
91,42.30513300000001,-83.6925997,42.450099354368504,1.0
92,42.3051305,-83.69260849999998,42.450099354368504,1.0
93,42.3051293,-83.69261340000001,42.450099354368504,1.0
94,42.3051279,-83.69261850000002,42.450099354368504,1.0
95,42.3051253,-83.69262940000002,42.450099354368504,1.0
96,42.3051235,-83.69263529999998,42.450099354368504,1.0
97,42.3051222,-83.69264150000002,42.450099354368504,1.0
98,42.3051182,-83.6926543,42.450099354368504,1.0
