row,latitude,longitude,aggresiveness score,lane,time
73,42.3052869,-83.6921998,0.0,3,2020-06-16T00:01:13
74,42.305283,-83.69221480000000,0.0,3,2020-06-16T00:01:14
75,42.305279,-83.69223000000000,0.0,3,2020-06-16T00:01:15
76,42.305275,-83.6922452,0.0,3,2020-06-16T00:01:16
77,42.3052699,-83.69226020000000,0.0,3,2020-06-16T00:01:17
78,42.3052659,-83.69227540000000,0.0,3,2020-06-16T00:01:18
79,42.3052618,-83.692291,0.0,3,2020-06-16T00:01:19
80,42.3052578,-83.69230640000000,0.0,3,2020-06-16T00:01:20
81,42.3052537,-83.6923218,0.0,3,2020-06-16T00:01:21
82,42.3052403,-83.6923679,0.0,3,2020-06-16T00:01:22
83,42.3052362,-83.6923834,0.0,3,2020-06-16T00:01:23
84,42.305232200000000,-83.692399,0.0,3,2020-06-16T00:01:24
85,42.3052265,-83.692415,0.0,3,2020-06-16T00:01:25
86,42.3052224,-83.6924308,0.0,3,2020-06-16T00:01:26
87,42.30521830000000,-83.6924466,0.0,3,2020-06-16T00:01:27
88,42.3052142,-83.69246240000000,0.0,3,2020-06-16T00:01:28
89,42.305210100000000,-83.69247830000000,0.0,3,2020-06-16T00:01:29
90,42.3052044,-83.6924944,0.0,3,2020-06-16T00:01:30
91,42.3051961,-83.69252640000000,0.0,3,2020-06-16T00:01:31
92,42.3051919,-83.6925425,0.0,3,2020-06-16T00:01:32
93,42.305181900000000,-83.69257450000000,0.0,3,2020-06-16T00:01:33
94,42.3051777,-83.6925907,0.0,3,2020-06-16T00:01:34
95,42.3051735,-83.692607,0.0,3,2020-06-16T00:01:35
96,42.3051693,-83.6926233,0.0,3,2020-06-16T00:01:36
97,42.3051598,-83.692656,0.0,3,2020-06-16T00:01:37
98,42.3051555,-83.69267240000000,0.0,3,2020-06-16T00:01:38
